Name,Tag,Logo,Ranks,Ratings,Country
Team Prestish,#X1R7,https://www.vlr.gg/img/vlr/tmp/vlr.png,296,1441,International
KAMK.GG,#V1KP,https://owcdn.net/img/62b48d3c61a75.png,297,1438,Finland
UKC Esport,#V1JX,https://www.vlr.gg/img/vlr/tmp/vlr.png,298,1436,Denmark
KPI Gaming,#W1N3,https://owcdn.net/img/67646c9580bbd.png,299,1436,Europe
QLASH,#YM0,https://owcdn.net/img/62efc0067ed80.png,300,1436,Italy
Gilas Ignite,#M1R6,https://owcdn.net/img/6828efe777b30.png,301,1435,International
Galakticos,#Y1KH,https://owcdn.net/img/63c5c07322f2d.png,302,1435,Turkey
Lyost,#WO0,https://owcdn.net/img/684e2be268ffc.png,303,1430,France
buchclub,#A1FA,https://www.vlr.gg/img/vlr/tmp/vlr.png,304,1428,Germany
UiA Kraken,#X1OF,https://www.vlr.gg/img/vlr/tmp/vlr.png,305,1427,International
Ascent Gaming,#B1KD,https://www.vlr.gg/img/vlr/tmp/vlr.png,306,1425,International
Dog Nation,#B156,https://owcdn.net/img/6454314d0b649.png,307,1425,Norway
WEARESOCOOL,#Q1MZ,https://owcdn.net/img/6814496503674.png,308,1425,Latvia
Hurricane Of Feathers,#Q1F0,https://owcdn.net/img/659a585f6aaf5.png,309,1420,Portugal
Ahlman Esports,#A1KC,https://owcdn.net/img/60218f9851f80.png,310,1419,Finland
PingPongPeek,#Y142,https://www.vlr.gg/img/vlr/tmp/vlr.png,311,1395,International
Möyhentäjät,#W1KC,https://www.vlr.gg/img/vlr/tmp/vlr.png,312,1392,Finland
